place,categories,user code,title,review,rating,date
Tropical Park,"Jogging Paths & Tracks, Parks",Marisol V,Excellent,"I have been coming to Tropical Park for the past 40 years.  I have done many birthday parties and for work, every year we do our Epilepsy Walk in the spring.  The park is always clean and the park management and staff is very accommodating and friendly.  Chad is the absolute Best!  Thanks for always being amazing to work with. :-)",50,March 2016
Tropical Park,"Jogging Paths & Tracks, Parks",cdcozz0656,"Spacious park to relax, bird watch, stroll, play","This huge park offers an equestrian area, basketball court, baseball and softball fields, tennis, wide paved paths for walkers/joggers, cyclists, plenty of open land for picnics and 2 large pond areas. We strolled for 2 hours and never even reached all the areas of the park. What a wonderful place to get a way from the city.",40,February 2016
Tropical Park,"Jogging Paths & Tracks, Parks",Jaime R,multi activities park,"great outdoor fun for the family, any and all kinds of family activities, bike, roller skate, baseball, soccer, tennis, volleyball, etc",50,January 2016
Wynwood Walls,"Points of Interest & Landmarks, Art Museums",JordanO572,Cool scene,"Very cool area to appreciate street art. It is crowded, however. Very trendy area with plenty of cool photo opportunities. Lots of small boutiques and shops in the neighborhood as well. ",50,February 2020
Wynwood Walls,"Points of Interest & Landmarks, Art Museums",lystra,Street Artistry,"Beautiful walls, there was a tribute to Kobe on one wall. Didn’t have much time, but just to get a few glimpses of what Wynwood is like I enjoyed.  One wall had a coyote and a Peacock which is seen often in Arizona.",50,March 2020
Calle Ocho,"Neighborhoods, Points of Interest & Landmarks",Brian D,Awesome!,"If you have some extra time while in Miami I would recommend a visit to Calle Ocho. Some great food and coffee in the area. Try a Cuban coffee, you will not be disappointed.",40,April 2019
Calle Ocho,"Neighborhoods, Points of Interest & Landmarks",jdiaz1791,Street walking mall,"It’s up and coming,every month new restaurants and stores open for business, the best located in between 2nd and 17th ave",50,August 2018
Calle Ocho,"Neighborhoods, Points of Interest & Landmarks",Wombling_Free_7548,Main Street in Little Havana,Plenty of on street parking for $1.75 an hour up to a maximum of 3 hours.,50,February 2019
Calle Ocho,"Neighborhoods, Points of Interest & Landmarks",Pilotprivate,Amazing  experience!,Miami is a great place to experience Latin culture! It's a must to visit Little Havana and Ball and Chains! Try freshly made cigars and just walk the night away with beautiful people and nice and warm weather. ,50,February 2019
Calle Ocho,"Neighborhoods, Points of Interest & Landmarks",rml01752,An Easy Walk and full of life,"By all means, include this walk in your Miami plans. If you like authentic Cuban vibes, enjoy the cigar culture, you have to visit. There are some touristy areas, but for the most part, this is a great place to hang out, have some Cuban eats -- especially the coffee -- and hang out and smoke some well made cigars. Be advised, you still cannot get Cuban cigars, but those that are sold are very good.",50,February 2019
Wynwood Walls,"Points of Interest & Landmarks, Art Museums",rgylling,"Beautiful artwork, worth a short stop, on Big Bus Route!","We stopped here on our via the Big Bus on our way to Little Havana for a food tour....got there before they opened, so walked the neighborhood.  Wonderful cafes for breakfast and I think more craft breweries and other novel eateries are popping up in the neighborhood.  We just walked around by ourselves, but I bet a tour would be interesting next time!  The artwork here is lovely....and sooooo colorful!",50,January 2020
Wynwood Walls,"Points of Interest & Landmarks, Art Museums",paF1909,One of the must see,"One of the must see places while you're in Miami, superb wall paintings by different artists with blending neighborhood.",50,February 2020
Wynwood Walls,"Points of Interest & Landmarks, Art Museums",scott r,Fantastic - and I am not particularly a 'street art' fan,"Despite many visits to Miami, I'd passed this by on grounds that I'm not a fan of grafitti, some comments about the area, etc.  Mistake.  The walls complex Is art, the galleries Are interesting and the neighborhood Is fun - well worth 2 hours or so wander.  There's a lot to see, not just within the Walls exhibit itself, but in the surrounding neighborhood; packed with tourists, but enough local flavor.  Many dining and drinking options, though shopping outside of the Levis pop-up (wow), is more of the smoke shop variety.  On a weekend afternoon, it's moved beyond 'transitional' - you can widen the circle for parking to the point where it's reasonably available and still feel comfortable.  Really a neat place for a sunny, moderate, afternoon.  At peak heat though you might confine the tour to the Walls exhibit itself, the area is not particularly shaded.",50,March 2020
Tropical Park,"Jogging Paths & Tracks, Parks",Ashley B,Very nice place to enjoy nature,"The area by the lakes, by the 56th street, it is amazing. I totally love it. I went there and sat in a blanket under a tree by one of the lakes and had an incredible time enjoying mother nature.",50,October 2015
Tropical Park,"Jogging Paths & Tracks, Parks",Xexekoo,Come here on Saturday for the farmer's market.,"Next we decided to walk to another section, where we noticed a lot of people walking dogs with leashes that say “adopt me” as I am a curious individual, and naturally intrigued, I walked to the section where there were several trailers set up from the ASPCA. As we went inside we noticed a lot of cages were empty, and the cages that were not empty had plenty of people around, giving attention to the animals.  I didn’t get to walk a dog, because I didn’t think it was fair of me to do so, as I obviously couldn’t take the animal on my flight home with me. This feeling became worse as I entered into another tent, and seen about 5 kittens in a cage, being playful, and awesome. I’m not a cat person, but I fully believe that the only thing stopping me from adopting one of those kittens was my flight. I really thought it was a great idea, combining a farmers market, with pet adoptions. Also, something of note here, there is a hotdog stand with a substantially sized hotdog called the Homewrecker. Yikes.",40,October 2015
Tropical Park,"Jogging Paths & Tracks, Parks",Keleko Q,Miami's most favorite park,"This park could be the busiest park here in the Miami area. It's basically the usual venue for any kind of sport or even any occasion like birthday, reunion, graduation, you name it. They even have a nice and big Bark Park for our beloved dogs big and small. And even the dogs do their celebrations there. And after Thanksgiving up until the first week of the New Year it becomes a small city of lights, rides and what have you. Where else can you find a park where you can get in for free and enjoy not just the fresh air coming from the lake but also a very good place for people watching.",40,November 2015
Tropical Park,"Jogging Paths & Tracks, Parks",NDDN,Weekend venue on a good summer day,Good for family picnics . You can book the sheds for a private birthday party. ,50,December 2015
Tropical Park,"Jogging Paths & Tracks, Parks",Edmund438,Santa's Enchanted Forest a Must for young and old,"My wife and I are elderly and we go to Santa's every year to eat dinner, walk around and enjoy the lights and Christmas features and decorations.  They expand and change each year and it is always a thrill for us older kids.  ",50,December 2015
Wynwood Walls,"Points of Interest & Landmarks, Art Museums",jazjef,Disappointed ,"A couple different people recommended we check out this area. It was kind of neat for a minute, but extremely underwhelming. There are not that many shops. And the walls area was extremely small",20,March 2020
Wynwood Walls,"Points of Interest & Landmarks, Art Museums",mzungunp,Very cool,"It started as a project to reinvigorate a dying area of Miami. And it’s awesome. There are lots of people taking selfies in front of the art, but you can appreciate the art as much as you’d like. Many blocks surrounding the walls also have amazing street art. ",50,March 2020
Calle Ocho,"Neighborhoods, Points of Interest & Landmarks",Lovetotravel2719,Enjoyed the little Miami walk,"Enjoyed walking a couple blocks down 8 street, domino park was interested seeing the old Cubans play and listen to music at ball and chain.   left home with velvet cream donuts, the best !!  ",40,February 2019
Calle Ocho,"Neighborhoods, Points of Interest & Landmarks",Dawn B,2019 Calle Ocho Festival,"Calle Ocho Festival was fantastic.  Latin Music everywhere; Bachata, Salsa, Cumbia, Reggaeton... etc.  Good food and friendly people.  I would love to attend with my family next year.  ",50,March 2019
Calle Ocho,"Neighborhoods, Points of Interest & Landmarks",maas_johnf,The ultimate Cuban street scene,"It's just a couple of blocks long, but it's jam packed with shops, restaurants, and Cuban cigar shops.  The street scene is not to be missed with the huge diversity of people from all over Latin America and Miami.  Is there a difference?  Viva la diferencia!",50,January 2019
Calle Ocho,"Neighborhoods, Points of Interest & Landmarks",KPR777,I really enjoyed visiting Calle Ocho and experiencing Little Havana -- and you will too!,"When in Miami, you've gotta go over to Calle Ocho and check Little Havana out! It's very close to downtown -- just a few blocks west -- and easy to get to. We parked a couple of block off to the south and had no problem walking over to the main strip and walking up and down both sides of the street, stopping for dinner and enjoying the Cuban ambiance of the neighborhood. ",40,December 2018
Calle Ocho,"Neighborhoods, Points of Interest & Landmarks",tif316,Rooster,"Worth stopping by while in Miami. Had to get a picture by one of the many Roosters in town, and check out the other stores.",40,January 2019
Wynwood Walls,"Points of Interest & Landmarks, Art Museums",Emma H,DEFINATELY go,Loved this area of Miami - The walls are so amazing and then wondering round the streets looking at all the art work on the walls and the pavement.  Really enjoyed the few hours we spent here and would definitely recommend.,50,February 2020
Wynwood Walls,"Points of Interest & Landmarks, Art Museums",masoares,Must see attraction in Miami,"In the surrounding are of the place (in the neighborhood), there are also many graffitis in the streets' walls, building façades, etc. One should also look at those. There are several restaurants, bars and cafes around the area. You can spend the whole day if you want to. Highly recommended!",50,January 2020
Tropical Park,"Jogging Paths & Tracks, Parks",safari855,Interesting,"This was a very different experience and not reviewed very much. I found it very interesting as our tour guide told us all about the plants, their origin, what they are used for and you get to taste all the fruit, most of which is unfamiliar to you. It's also a very inexpensive park.",50,March 2015
Tropical Park,"Jogging Paths & Tracks, Parks",Miris S,Oasis in the middle of the city,Tropical Park is a relaxing spot in the hustle of the city. Locals have birthday parties and picnics in the park. It the perfect set for such occasions with lakes and rolling hills. Its a must see when in Miami.  ,50,September 2015
Tropical Park,"Jogging Paths & Tracks, Parks",Adriana E,"So much to do for everyone, even Fido!","When you have done it all and want a little outdoors, tropical park is perfect. They even have a designated dog park.",40,October 2015
Tropical Park,"Jogging Paths & Tracks, Parks",CLEMEN V,fun for family picnics or just for walking,A nice Park for a Sunday family picnic or just to go walking on week days.  It is a park to celebrate family events and to enjoy the outdoors.,40,November 2014
Tropical Park,"Jogging Paths & Tracks, Parks",Helen C,Lovely Park!,"Adorable green space in the heart of Miami, it offers lots of different activities such as baseball, tennis, soccer,  trails, and a lot more. There are many areas which will be heaven for your dogs just as much as for you!",40,November 2014
Wynwood Walls,"Points of Interest & Landmarks, Art Museums",Rstraubh,Area open 24 hours!,We totally loved the area. ,50,February 2020
Wynwood Walls,"Points of Interest & Landmarks, Art Museums",Pierre P,Just amazing artwork!,Find a parking spot ( maybe hard to find) . Wear comfortable shoes as it is not limited to 2520 address. Walk around there is plenty of artwork on other streets,50,February 2020
Wynwood Walls,"Points of Interest & Landmarks, Art Museums",Issac G,Amazing. Go for a walk,"Such a cool area.  The art, stores and restaurants are something no other area offers.     We had 90 spare minutes but wish we had a couple more hours to walk around.  You can walk it in an hour if your just want to look around but I highly recommend looking at the sweet little shops and quasi museum they have set up.",50,March 2020
Calle Ocho,"Neighborhoods, Points of Interest & Landmarks",sarahb3n,Miami Must-see,"This is a wonderful little Cuban street you'll come across on any tour of the city. Great place to walk around, buy cigars, get some cuban coffee, take a picture with one of the roosters, etc. Highly recommend!",50,August 2018
Calle Ocho,"Neighborhoods, Points of Interest & Landmarks",Rickowner,A graet place to visit. This was in 2013 NOT 2018," Nice area and friendly people. We found a great restaurant there, named Mama Rosa. SO nice staff/owners",40,November 2018
Calle Ocho,"Neighborhoods, Points of Interest & Landmarks",travelnut,Gret food and shiooing,"Interesting area with gret food, and lots of shopping. We took a local food tour and had a great time with our guide. He was very thourogh ",50,December 2018
Calle Ocho,"Neighborhoods, Points of Interest & Landmarks",jennifera399,Don't miss this taste of Cuba,"As we didn't have much time to explore since Orlando was a 4 hour drive back from Miami, but it was definitely a worthwhile walk after eating that delicious ice cream from Azucar.  You can totally smell the fresh Cuban cigars and love the music and dancers in the streets,  Makes you feel as if you are right in Cuba.",50,July 2018
Calle Ocho,"Neighborhoods, Points of Interest & Landmarks",Lyn_Farmer,More than a street,"Calle Ocho is, literally, Eighth Street, the nexus of Cuban culture in Miami. There are many Cuban and Latin neighborhoods in the city, but Eighth Street, extending from near downtown Miami 40 blocks west to LeJeune Road, is famous for its seemingly endless stretch of Cuban restaurants, bars, nightclubs, cigar shops and more. There are varied cuisines along the street these days, but some of the city's most famous (though not necessarily the best) Cuban restaurants are here, notably the heavily mirrored and highly over-rated Versailles. One of the city's best bars, Ball & Chain, is here, and the terrific Northern Thai hole-in-the-wall restaurants Lung Yai Thai Tapas as well. It's a varied neighborhood these days, and great fun to drive. Keep in mind that from Coral Gables to downtown, it is one way running West to East.",40,December 2018
Wynwood Walls,"Points of Interest & Landmarks, Art Museums",LuciaHelo,Open air,"Amazing art spot. To stroll on the neighborhood streets and find beautiful graffitis painted all over the walls is a complement of such a unique place, The Winwood Walls.",50,February 2020
Wynwood Walls,"Points of Interest & Landmarks, Art Museums",pattit534,Nice!!,Enjoyed our visit.  Very nice.  So very interesting.  Be sure to stop in at the galleries - so very good!,50,February 2020
Tropical Park,"Jogging Paths & Tracks, Parks",BusterBrewsky,top regional park,this is a nice regional park with lots to do or a place to go and relax and do  nothing.Watch softball or horses in the stables or sit by the lake. ,40,June 2015
Tropical Park,"Jogging Paths & Tracks, Parks",Michelle M,Gorgeous park! HUGE too.,"One of the best parks around! Lots to do. Great for all ages.Love the grounds, full of plant life and nature.",50,October 2014
Tropical Park,"Jogging Paths & Tracks, Parks",SusanMochnacs,Best park in Miami,"Although the lake in the middle of the park is nothing particularly special, you can rent a paddle boat for a little fun and exercise.  But this is the most diverse, fun, family-friendly (and dog-friendly!) park in Miami.  It's a great place for a walk or a picnic.  Lots of families have parties here, and the atmosphere is festive. If you want a taste of one aspect of the ""real Miami"" (aka, not Miami Beach), this is a good place to visit.",50,September 2015
Tropical Park,"Jogging Paths & Tracks, Parks",Traveljnc,Huge park with lots of options,"However, this is quite a large park and you can easily drive along to find a spot where you'll be alone or have enough space to relax or throw around a ball, etc.",50,October 2015
Tropical Park,"Jogging Paths & Tracks, Parks",Mohammad M,"Great for a picnic time, just don't expect a clean restroom...",Restrooms are not that much clean.,40,April 2015
Wynwood Walls,"Points of Interest & Landmarks, Art Museums",Traveling12399,Fabulous Your of Wynwood Walls,"Our tour guide, Lance, brought the art of Wynwood Walls to life in a highly engaging and informative tour.",50,February 2020
Wynwood Walls,"Points of Interest & Landmarks, Art Museums",soniavbuk,Love love love the colours,Come here to be visually stimulated. ,50,February 2020
Wynwood Walls,"Points of Interest & Landmarks, Art Museums",Paul-Christina,Fun time!,Lance was very knowledgeable and a great guide. He knew many of the wall artists. Highly recommended.,50,February 2020
Calle Ocho,"Neighborhoods, Points of Interest & Landmarks",Osprey2011,Street does capture a little of Cuba,"There is about 4 blocks that gives you a Cuban flavor. Personally, I liked the supermarkets and bakeries there . Had a pastry and cafe . ",40,January 2019
Calle Ocho,"Neighborhoods, Points of Interest & Landmarks",jeannew162,Little Havana,"Eighth Street in Little Havana, Miami, is a fun place to go to. The Cuban culture abounds everywhere. The colorful murals everywhere are awesome. Music can be heard at all eateries. And the food and drinks were amazing!",50,December 2018
Calle Ocho,"Neighborhoods, Points of Interest & Landmarks",Claudio S,Not so Good,It's one of the most important and long streets in Miami but there's not too much to see. There are otrher options to go to visit in Miami first.,20,November 2017
Calle Ocho,"Neighborhoods, Points of Interest & Landmarks",Blondie9203,Different,"Great place to experience the influence of the Cuban people, as well as the melting of the other Hispanic cultures.",30,October 2018
Calle Ocho,"Neighborhoods, Points of Interest & Landmarks",pbastos324,Neglected neighborhood,"it could be a nicer place, but streets looks like no one cleans them.On Sunday the Domino Park was crowded.",30,November 2018
Wynwood Walls,"Points of Interest & Landmarks, Art Museums",161crystala,Amazing Artwork,You have to visit this place as they having amazing artwork there and it's nice to walk around and see all the details that these artists put into their paintings. ,50,February 2020
Tropical Park,"Jogging Paths & Tracks, Parks",387indy,Tropical Park,"Tropical Park is a lush area with a lot of open green space, It has a lot of undesired Austrailian Pines. But it also has desirable live oaks and native trees and bushes. Its free, with clean facilities. A good place to take the family.",40,April 2015
Tropical Park,"Jogging Paths & Tracks, Parks",abst14,Bark Park is great,"Tropical Park has been a great park for parties, running, softball, and now it has a beautiful, clean, dog park.  Lots of shade, well maintained, easy parking, nice breeze.  ",40,May 2015
Tropical Park,"Jogging Paths & Tracks, Parks",cazu247,A park instiution,We have been going to tropical park since we were kids.  It is a nostalgic place for us since my parents and family celebrate all our outdoor festivities there.  It is still a great family park.,40,June 2015
Tropical Park,"Jogging Paths & Tracks, Parks",carmen6233,Tropical Park,"One of the Best parks in South Miami! Picnic, lakes, biking, ball fields and the official ""Santa's Enchanted Forest"" during the Holidays! Great Family Park.",50,December 2014
Tropical Park,"Jogging Paths & Tracks, Parks",tomhooves,Great spot,Went there to watch a kids baseball game. Parking was easy the grounds were well kept and the facilities were clean and properly serviced,40,July 2015
Wynwood Walls,"Points of Interest & Landmarks, Art Museums",NEVenturer,Visually Stunning and Spiritually Moving ,What a wonderful gift to an area.  Beautiful art and a great “vibe.” I loved it all.  Don’t miss it! I loved the surrounding area as much as I did the actual walls.  The Pepto Bismarck colored butterfly location was my absolute favorite. What amazing creativity. ,50,February 2020
Wynwood Walls,"Points of Interest & Landmarks, Art Museums",MadameLulu418,Windwood ,We enjoyed seeing the colorful walls! There are also many restaurants and shops within walking distance. It is certainly well worth a visit.,40,February 2020
Wynwood Walls,"Points of Interest & Landmarks, Art Museums",BrianS612,Nice drive by viewing,"Time only allowed a drive by viewing coming from Miami Beach.  As we got close to the prime area, started seeing artist paintings on the walls.  I may have missed information from the web site, but I wished there was a ‘drivers map’ to the key selections to view during a drive by.  Our group of 3 were pleased with what we saw during our drive by.",40,February 2020
Wynwood Walls,"Points of Interest & Landmarks, Art Museums",Pathfinder801998,Liked it,Very good contemporary art. Like it. Nice walk and art works from important artist like Cobra. And the neighborhood is wonderful too! ,40,February 2020
Calle Ocho,"Neighborhoods, Points of Interest & Landmarks",rrivera57,a piece of Cuba on SW 8 Street,"this was a sleepy little street back in the day, but is now bustling with tourists on a daily basis...great little restaurants, great music which can be heard everywhere, cigar makers here and there....",30,August 2018
Calle Ocho,"Neighborhoods, Points of Interest & Landmarks",hydrorock,A taste of Cuba in the US,"Stopped down here again recently to check out the cigar shops, domino park and do some shopping/sight seeing. Calle Ocho is a very long street. We were in the area of Little Havana between SW14th Ave and SW 17th Ave. Live music on the street and some good food/bars. A little crowded (Saturday).",40,December 2018
Calle Ocho,"Neighborhoods, Points of Interest & Landmarks",A5685GBCARLS,Short trip but worth it. Could have spent more time here exploring.,Smile and talk with the locals in Little Havana on Calle Ocho. You might be surprised what you find out.,40,July 2018
Calle Ocho,"Neighborhoods, Points of Interest & Landmarks",AberdeenshireTom,Fun street with lots to see and do,"Fun place to visit, lots of local eateries, shops and cigar rolling - a great flavour of Cuba. Local music, dancing and a fun vibe in the evening.",50,August 2018
Calle Ocho,"Neighborhoods, Points of Interest & Landmarks",RanjanDutta,Great place to hangout,You cannot miss the giant roosters. Good place to take a stroll and experience the local culture and cuisines. Try the local ice-cream shops.,50,July 2018
Wynwood Walls,"Points of Interest & Landmarks, Art Museums",Jesse R,A MUST!,This is a must for anyone visiting Miami. Whether you're interested in art or not you will appreciate the masterpieces there and come to love it. I visited this place as one of the major stops on my 'hopon/hopoff' tours.,50,January 2020
Tropical Park,"Jogging Paths & Tracks, Parks",MrMiamiExplorer,Massive Park,"Tropical Park is not only one of the largest (if not the largest) free park in Dade County, but also one of the best. Parking is Free as well. This park has it all: tennis and basketball courts, football and soccer fields, lots of green space for activities, jogging trails, beautiful lakes, an Equestrian center, picnic shelters, and lots more. Every year the park has fun activities such as Santa's Enchanted Forest, The Miami Agriculture and Cattle Show, Concerts, Sports Events, Pet Adoption Events, and lots of other fairs and activities. With the exception of Santa's Enchanted Forest, most other events held at the park have free admission and free parking. With all the corruption and greed in Miami, Tropical park is a nice exception. Also Tropical park is surrounded by lots of low income communities, and people can come from these nearby areas for free recreation. Excellent place overall.",50,October 2014
Tropical Park,"Jogging Paths & Tracks, Parks",yuriel A,Huge park in the middle of miami,"So many activities to do in this open area!! Practice sports, do birthdays parties and much more. Near any place in Miami, easy access from palmetto expressway and even a lake to do a romantic canoe trip.",50,October 2014
Tropical Park,"Jogging Paths & Tracks, Parks",tczig,FANTASTIC,"This park has everything you could want, and it's free.  You can enter from Bird Road or Miller Road.  There are lakes (NO SWIMMING), a huge playground, tennis courts, bike path, basketball courts, baseball diamond, wonderful pavillions, wonderful picnic tables, walking path, and plenty of SHADE.  It's all good.  There is also an AMAZING police memorial here; be sure and check it out if you are visiting the park (it's near the baseball diamonds - but across the way, closer to the expressway).  And, for us dog-lovers - the BEST dog park in Miami (in my opinion).  It is well kept and there are 2 totally separate areas - for big doggies and little doggies.  Both areas are huge.  Be aware - dogs are not allowed in other areas of the park; they can only be in the Bark Park.  The park people keep this park amazingly clean.  On the weekends, there are people who throw their trash all over, rather than in the trash cans - but the park people clean it up and by Monday, it's good as new.  Weekdays are much quieter than the busy weekends.  Great bird-watching place too!  Come and bring your family - spend all day!",50,January 2015
Tropical Park,"Jogging Paths & Tracks, Parks",Bobejoness,To see Grand Daughter and daughter ride in equestrian tournament ,We think park is spectacular but dampened with concession stand. Paying 16.00 for 1 hamburger and 2 coffees kinda costly. However lady was very pleasant   Maybe we are out of touch with prices but seemed very high??,40,January 2015
Tropical Park,"Jogging Paths & Tracks, Parks",AkGirl1987,Very big park,"Tons of open space, a running track free for public use, exercise equipment, playgrounds for the kids, a pond with paddleboats, ample free parking, and seasonal events at the equestrian arena. I ran here almost daily from my house in South Miami. ",40,April 2014
Wynwood Walls,"Points of Interest & Landmarks, Art Museums",Dominika_5_stars,Great place with great atmosphere,"Take a walk to Wynwood walls as this is a very nice place in Miami, though quite different from the whole city. Nice walls, nice art, nice caffees. Worth seeing!",50,February 2020
Wynwood Walls,"Points of Interest & Landmarks, Art Museums",912marcid,Wynwood Walls is a Must!,Lance was an awesome tour guide. The hour long Anything elsetour covered the history of Wynwood Walls and talked about the current street art on display. Highly recommend this tour. Made the experience much more meaningful.,50,February 2020
Wynwood Walls,"Points of Interest & Landmarks, Art Museums",jezebeljojo,Highly recommend,I found this very interesting. I walked around for a few hours and took tons of photographs.  I didn't do an official tour but I plan on coming back when I have more time to do that. The wall mural art goes for many blocks and is beautiful and fascinating.,50,February 2020
Wynwood Walls,"Points of Interest & Landmarks, Art Museums",tammyf,Wonderful artwork!!,What a pleasure to find this treasure in Miami! The most beautifully creative graffiti art I’ve ever seen. As special to Miami as the wonderful mural art is to Philly. Don’t miss it!!!,50,February 2020
Calle Ocho,"Neighborhoods, Points of Interest & Landmarks",giramundo85,Nothing to do with Cuba there is nothing to see expect some stores to buy cigars ,Nothing to do with Cuba there is nothing to see expect some stores to buy cigars which are not different from what you can find in Miami Beach ,10,July 2018
Calle Ocho,"Neighborhoods, Points of Interest & Landmarks",Carlos C,A happy place with happy people,"The part of Calle 8 in the little Havana is really a place to have a lot of fun. Very important: If you like to smoke good cigars, you will find more than one perfect places.",40,September 2018
Calle Ocho,"Neighborhoods, Points of Interest & Landmarks",130Doug,Only in Miami....,"We didn't buy much, nor did we eat anything, but the magic of this place was infectious and fun nonetheless! People danced in open doorways of nightclubs, there was no English whatsoever, and we felt like we'd gone to another country. I've never been to Cuba, but I can't help but walk away from this place with a whetted appetite for the fevers of Havana....",50,July 2017
Calle Ocho,"Neighborhoods, Points of Interest & Landmarks",R3_PRG,Not much to see or do here,Calle 8 is very underwhelming and not a good place to take the family.  The music is nice to hear but the area is very limited in what you can see and experience.  I was shocked really to see McDonald’s and Pizza Hut along with a token H&R Block right in the middle of the 4-block action.  We had a drink and snack stop at Ball and Chain but really didn’t make the experience much better.  I’m surprised the locals haven’t done more to add to the experience.  We did find parking and it seems pretty safe.  Just limited in culture for the most part.  ,30,July 2018
Calle Ocho,"Neighborhoods, Points of Interest & Landmarks",fernandez97,Visited it every day,Loved the vibe at this place.  Has lots to see and great restaurants to eat at.  If you like cigars many shops to choose from. ,50,July 2018
Tropical Park,"Jogging Paths & Tracks, Parks",yreyes216,Large open park with beautiful lakes,"I love all parks, but this one is on the top list. It offers so much space for any outdoor event you wish to do. Running, riding bicycle with the family, picnic areas, fishing, even boat padding. The only negative is you can't swim in the lakes. Other than that, it is a nice place to spend the afternoon. And if you don't want to jump off the grind, it offers free wifi too.",40,July 2013
Tropical Park,"Jogging Paths & Tracks, Parks",jrlastres,Very nice park,"This park is free there is a lot to do, play with the kids football. But take water you'll need it. Again only bad thing is how hot it is there.",50,May 2013
Tropical Park,"Jogging Paths & Tracks, Parks",Yvonne A,"Our family park, we have been coming here for more than 30 yrs!",Off this park is where they hold the Santa's Enchanted Forrest every year very lovely too.,40,October 2013
Tropical Park,"Jogging Paths & Tracks, Parks",lidyh,Splendid for outdoor activities,"This is an amazing park to have meetings and parties with family and/or friends. We enjoy every time we visited it with large group of friends. You will always find a spot. You can run freely and deeply breathe and you will feel mind free, nature activities are always better than indoors. Actually I think this should be a must for every family because this is a way to put us in contact with healthy activities. Highly recommended!",50,July 2014
Tropical Park,"Jogging Paths & Tracks, Parks",pokehappy,fun for everyone,"this is the place for entire family. You can even bring your pet. Have fun playing baseball, running, relaxing. ",50,June 2014
Wynwood Walls,"Points of Interest & Landmarks, Art Museums",Nadine L,Food and Art,"A don't miss if you're visiting the Miami area. The vibe is electric in Wynwood. The wall murals are huge, impressive, numerous, colorful and gorgeous. Never tire of visiting the area and strolling through. Night or day, I never tire of them. Lots of fun, noteworthy and tasty restaurant choices to top off your time in this vibrant hood.",50,February 2020
Wynwood Walls,"Points of Interest & Landmarks, Art Museums",Miriam W,Modern Art,Modern art on display for all!  The modern interpretation of street art brought to a higher level!  An excellent way to display and view a modern art form. ,50,January 2020
Wynwood Walls,"Points of Interest & Landmarks, Art Museums",loriar,Wow!,"So glad we came to visit the Wynwood Walls.  The artwork is amazing, creative and unique.  It is so impressive to see a 3 story building fully painted.  All the businesses in and around the Wynwood Walls are also painted.  You can wander around there for hours and still not see all of them.",50,November 2019
Wynwood Walls,"Points of Interest & Landmarks, Art Museums",ARZ5789,Wynwood Walls Tour,"Our tour was great! Lance, our guide, enhanced our experience through his passion and knowledge. He gave us a wealth of information and answered every question. We highly recommend this tour!",50,February 2020
Wynwood Walls,"Points of Interest & Landmarks, Art Museums",affy1979,Lots to see!,We did a tour and this was part of that itinerary. There is so many tributes and graffiti and wall art all over this area. Great locations to take a Instagram friendly photo! Get your camera ready!,40,February 2020
Calle Ocho,"Neighborhoods, Points of Interest & Landmarks",Evan L,Very goot!,Very nice good location near all the things that are fun and things. Nice looking. Warm water. Muy bien!,50,July 2018
Calle Ocho,"Neighborhoods, Points of Interest & Landmarks",HarleyMatt,Very Cuban,"A lovely area of town that is great in the daytime, it might be different at night ... you can walk from Bayside but it takes about half an hour.. the area is very Cuban so you do not feel you are in America. even the McDonalds menu is in Spanish. Cool place",50,May 2018
Calle Ocho,"Neighborhoods, Points of Interest & Landmarks",Miami2741,Calle 8: The New Midtown?,This could be the start of something big for this working class neighborhood West of Brickell that is already showing the first signs of gentrification.,50,May 2018
Calle Ocho,"Neighborhoods, Points of Interest & Landmarks",cheertraveler,Don't Blink,"Almost missed this point if interest.  Small strip of small specialty stores with a nice Art Deco style.  Was hoping to be able to experience more of ""Cuba"". Perhaps during festival time,  it in a daily basis a quick drive through is all you need",30,May 2018
Wynwood Walls,"Points of Interest & Landmarks, Art Museums",paulab182016,Wonderful way to spend an afternoon ,Paula & Darren ,50,February 2020
Tropical Park,"Jogging Paths & Tracks, Parks",ABKMLK,our local park,"We live near Tropical Park, therefore we frequent often. Overall, it's a good park. Basketball courts, baseball diamonds, tennis courts, picnic pavillions, pond, ducks, open play areas, playgrounds, food service, bicycle-type vehicles for rent. Draw back are the people who come and litter. Broken glass all around, even in the grass where kids play. It's not the parks fault, people just don't care or are just plain-------. A park is for everyone to enjoy, not just for a few inconsiderates. Is it so hard to pick up your own trash and put it in the garbage cans? There are plenty of trash recepticles to use.",30,December 2012
Tropical Park,"Jogging Paths & Tracks, Parks",sweetest12,FANTASTIC!!,"This park is amazing, it truly has something for everyone. I've been here for the Christmas festival, horse shows, the dog park, to play tennis and to ride bikes. They have batting cages and just about any recreational activity you can think of. Looking for a park to get the kids out to, someplace that will keep them busy, look no further, Tropical Park is the ONLY park to take them to!",50,January 2013
Tropical Park,"Jogging Paths & Tracks, Parks",Wind C,OK  Large area park,"Not very imaginative, but fairly large park. Good for parties you don't want at home! More, More, More, More, More, More, More, More, ",40,June 2012
Tropical Park,"Jogging Paths & Tracks, Parks",Adienikk,Is a huge park in Miami areas where you have a great spaces to,And Picnics....,50,April 2013
